data,estado,regiao,consumo_diario,pred,doubl_days,smth_date,mobility,smth_mob,activity,ma_consumo,ma_pred,dif_baseline,ma_dif_baseline,PET_Phase,consumo_diario_acl,pred_acl,ma_consumo_acl,ma_pred_acl,dif_baseline_acl,ma_dif_baseline_acl
2019-08-26,Brasil,NA,60529.801399956,62359.599408317066,NA,NA,NA,NA,NA,60018.36774222357,61423.53623675886,-0.02287671112127159,-0.021735455451204446,NA,19016.564572121,19690.996517108455,18902.997026122,19510.735474695746,-0.03114892564465066,-0.027702478405996843
2019-08-27,Brasil,NA,62208.141566433,63801.72111662784,NA,NA,NA,NA,NA,59900.599414438715,61425.865552651776,-0.02483100766249137,-0.021611868596615357,NA,19699.164208306,20348.828849817262,18877.77285822357,19511.905552481003,-0.03249978289162035,-0.028687436801864218
2019-08-28,Brasil,NA,62312.039305786006,64123.6462189094,NA,NA,NA,NA,NA,59804.62898716986,61428.19486854469,-0.026430304273945122,-0.021855487447018776,NA,19595.873319744,20421.3632618668,18826.453703919,19513.075630266256,-0.035187785839473365,-0.029953169910903486
2019-08-29,Brasil,NA,62738.139824043996,64068.71738924505,NA,NA,NA,NA,NA,59807.81507283743,61430.524184437614,-0.026415355120985095,-0.022575302177178312,NA,19686.638739835,20428.101735925444,18799.47530606286,19514.245708051516,-0.036628133758392876,-0.03139181816039645
2019-08-30,Brasil,NA,63555.246862699,63780.16166268952,NA,NA,NA,NA,NA,59975.46035415057,61432.85350033053,-0.02372335099446613,-0.02325140362933798,NA,19894.275103865,20421.77384553335,18807.871908346,19515.415785836773,-0.03625563940094329,-0.03268167520163006
2019-08-31,Brasil,NA,58976.302039536,58572.169660798514,NA,NA,NA,NA,NA,60262.284746631856,61435.182816223445,-0.019091634725010645,-0.023350827411728534,NA,18086.929567787,18832.97775092132,18798.64374527986,19516.585863622025,-0.03678625571905868,-0.03399953267807736
2019-09-01,Brasil,NA,53047.459568293,56069.64867974874,NA,NA,NA,NA,NA,60481.01865239243,61825.09487661945,-0.02173997835198331,-0.02358690603573618,NA,15461.554857875,16782.608704963048,18777.28576707614,19560.95009516224,-0.04006269247013276,-0.03550988796061028
2019-09-02,Brasil,NA,61776.382698073,65088.98383108909,NA,NA,NA,NA,NA,60659.10169498057,62215.00693701545,-0.0250085199477681,-0.02389145015380711,NA,18917.555468321,20001.54613788996,18763.14160939043,19605.314326702453,-0.04295634863476703,-0.03719666267348405
2019-09-03,Brasil,NA,63933.240118412665,66531.10553939987,NA,NA,NA,NA,NA,60905.544345263384,62604.918997411456,-0.027144426977348795,-0.02422193862735817,NA,19748.78263195267,20659.37847059877,18770.229955625666,19649.67855824267,-0.04475638621824137,-0.03894760600585848
2019-09-04,Brasil,NA,64379.072326001,66853.03064168143,NA,NA,NA,NA,NA,61200.834776722666,62994.83105780746,-0.028478468010153496,-0.02451453344681651,NA,19937.523588752,20731.91288264831,18819.037136912524,19694.04278978289,-0.04442996606691189,-0.04026791746692113
2019-09-05,Brasil,NA,63960.812853087,66730.52191349855,NA,NA,NA,NA,NA,61375.50235230024,63375.08884698653,-0.03155161643266671,-0.025248285062771027,NA,19812.302810629,20716.303493711508,18836.989147025954,19735.21446946661,-0.045513836387759944,-0.04153730355683071
2019-09-06,Brasil,NA,62837.15572204,66498.39149287672,NA,NA,NA,NA,NA,61272.91790363467,63763.40739415613,-0.03905828738301887,-0.027438990261135703,NA,19652.999876081998,20731.791582321504,18802.521257342665,19779.502717579202,-0.04939363108296126,-0.043414159511404704
2019-09-07,Brasil,NA,55052.618525867,54106.37348395552,NA,NA,NA,NA,NA,60712.39168739624,63125.43651174999,-0.03822618832749927,-0.030172497918634078,NA,16507.320511742,16808.502947280038,18576.86282076481,19490.292031344732,-0.04686585553007229,-0.044854102341549504
2019-09-08,Brasil,NA,53376.28620458,56057.82859696202,NA,NA,NA,NA,NA,60759.36692115152,63123.74792849474,-0.037456283648137294,-0.03241768438951322,NA,15651.600092497001,16788.124410064607,18604.012139996525,19491.079989216385,-0.04551147754309349,-0.04563250020911532
