data,consumo_diario,pred,ma_consumo,ma_pred,dif_baseline,dif_consumo,ma_dif_baseline,consumo_diario_acl,pred_acl,ma_consumo_acl,ma_pred_acl,dif_baseline_acl,dif_consumo_acl,ma_dif_baseline_acl,half_cum_deaths,doubl_days,mobility,smth_date,smth_mob,activity,PET_Phase
2018-10-04,67049.937380754,66469.36088014279,64059.60387260257,63173.49887012708,0.014026530401571733,886.105002475495,0.024319878866592173,19670.483116854,20080.37291020473,18820.238680702572,19030.410518523193,-0.01104399916208063,-210.17183782062057,0.0014903361383410947,NA,NA,NA,NA,NA,NA,NA
2018-10-05,65542.929041602,66116.29406543687,63981.612536422,63393.88784781553,0.00927099928020458,587.7246886064677,0.02142662656842783,19815.315340102,20077.724556667938,18841.76825559343,19079.961624508844,-0.012483954297342328,-238.19336891541388,-0.0020263774801664498,NA,NA,NA,NA,NA,NA,NA
2018-10-06,58984.696680142,60919.43688892509,63705.851686415,63618.41514194756,0.0013743904854018921,87.4365444674404,0.017141858572599606,18247.645045242,18454.017387199925,18837.387472400715,19129.714363371015,-0.015281299313597627,-292.32689097030016,-0.005682352643681039,NA,NA,NA,NA,NA,NA,NA
2018-10-07,52581.170996961,55799.2641762241,63381.517684734,63842.9424360796,-0.007227498196963336,-461.42475134559936,0.011712996241098976,15597.851225261,16131.498665668052,18827.155718791146,19179.467102233182,-0.018369195638444757,-352.31138344203646,-0.009292304385554414,NA,NA,NA,NA,NA,NA,NA
2018-10-08,63479.915960602004,64757.224319112036,63211.686362252716,63843.74594446655,-0.009900101769774312,-632.0595822138348,0.006716434399085997,19290.103399702,19345.586668886906,18868.80422329557,19180.59241509208,-0.016255399470935104,-311.78819179650964,-0.01191756526299938,NA,NA,NA,NA,NA,NA,NA
2018-10-09,66079.589387895,66275.77424587199,63073.001057255286,63844.549452853505,-0.012084796622583667,-771.5483955982199,0.001950633418093507,20066.987472595,20055.070862854624,18914.356527398144,19181.717727950978,-0.013938334634298357,-267.3612005528339,-0.013509623262733982,NA,NA,NA,NA,NA,NA,NA
2018-10-10,66652.391665868,66654.90909723002,62910.09015911771,63856.03766756327,-0.014813752042840456,-945.9475084455626,-0.0027648897807119378,19990.244848568,20145.491438868976,18954.090064046286,19184.251784335876,-0.011997430125344773,-230.16172028959045,-0.014195658948863368,NA,NA,NA,NA,NA,NA,NA
2018-10-11,65749.558758254,66386.13571406087,62724.32178447486,63844.148358123,-0.017540003311919242,-1119.8265736481408,-0.007274394596924935,19903.901397954,20064.05066045723,18987.43553277486,19181.92003437195,-0.01013894861664495,-194.48450159708955,-0.014066366013801127,NA,NA,NA,NA,NA,NA,NA
2018-10-12,57820.870700428,61005.05180799817,61621.170592878574,63113.97089277461,-0.023652454104530676,-1492.8002998960364,-0.011977745080458542,17604.416638028,17990.178341572966,18671.59286105,18883.699146501236,-0.011232242359174298,-212.10628545123473,-0.013887550022634266,NA,NA,NA,NA,NA,NA,NA
2018-10-13,59014.772538213,60925.06144763378,61625.46714403157,63114.774401161565,-0.023596808691160962,-1489.3072571299926,-0.01554505924853895,17137.896785813,18461.89457721221,18513.057395417287,18884.824459360134,-0.019686021691273026,-371.767063942847,-0.014516796076587894,NA,NA,NA,NA,NA,NA,NA
2018-10-14,54886.123095015,55804.888734932785,61954.74601518214,63115.57790954852,-0.018392161377813486,-1160.8318943663762,-0.017140011131517544,15787.656773315,16139.375855680335,18540.172473710718,18885.94977221903,-0.018308705819865486,-345.77729850831383,-0.014508154673933713,NA,NA,NA,NA,NA,NA,NA
2018-10-15,63957.90215627,64919.79713238024,62023.02975742043,63138.80259715827,-0.017671745326827852,-1115.7728397378378,-0.018250245925382335,19117.33747777,19299.62170829278,18515.49162772043,18879.383349277017,-0.019274555467433955,-363.8917215565889,-0.014939462673433549,NA,NA,NA,NA,NA,NA,NA
2018-10-16,66227.370806312,66281.39880458068,62044.141388622855,63139.60610554522,-0.01734988202319747,-1095.464716922368,-0.01900240098261288,20079.834744912,20062.94805286691,18517.326952337145,18880.508662135915,-0.019235801126858177,-363.1817097987696,-0.015696243600942093,NA,NA,NA,NA,NA,NA,NA
2018-10-17,67099.367419098,66660.5336559387,62107.99506765571,63140.40961393218,-0.016351090412448928,-1032.4145462764645,-0.0192220207496998,20304.422703698,20153.368628881257,18562.209503070004,18881.633974994813,-0.01691720495947686,-319.42447192480904,-0.01639906857724668,NA,NA,NA,NA,NA,NA,NA
2018-10-18,67382.44669352101,66480.60999756017,62341.26477269386,63153.90594014636,-0.012867631152104436,-812.6411674525007,-0.0185545390125834,20326.838041521,20096.127290229295,18622.62902357957,18886.216350676532,-0.0139565978808412,-263.5873270969605,-0.016944447043560427,NA,NA,NA,NA,NA,NA,NA
